Customer,Frequency,Monetary,Recency,R_Score,F_Score,M_Score,RFM_Score,RFM_Score_Total,Segment
11000,1,90000,3936,4,1,5,415,10,Potential Loyalist
11047,1,30000,11992,1,1,1,111,3,Lost
11061,1,70000,2558,4,1,4,414,9,Potential Loyalist
11090,1,90000,2591,4,1,5,415,10,Potential Loyalist
11116,1,70000,4626,4,1,4,414,9,Potential Loyalist
11139,1,30000,9959,1,1,1,111,3,Lost
11143,1,40000,6269,3,1,2,312,6,Other
11147,1,60000,1253,5,1,3,513,9,Potential Loyalist
11149,1,40000,1943,5,1,2,512,8,Promising
11165,1,60000,9635,1,1,3,113,5,Lost
11199,1,70000,4520,4,1,4,414,9,Potential Loyalist
11200,1,70000,9653,1,1,4,114,6,Lost
11219,1,60000,915,5,1,3,513,9,Potential Loyalist
11225,1,60000,7598,2,1,3,213,6,Lost
11233,1,70000,335,5,1,4,514,10,Potential Loyalist
11249,1,130000,9933,1,1,5,115,7,Lost
11255,1,70000,1899,5,1,4,514,10,Potential Loyalist
11259,1,100000,8010,2,1,5,215,8,Lost
11262,1,80000,11437,1,1,4,114,6,Lost
11269,1,130000,7401,2,1,5,215,8,Lost
11270,1,130000,3355,4,1,5,415,10,Potential Loyalist
11275,1,80000,8713,2,1,4,214,7,Lost
11287,1,70000,2920,4,1,4,414,9,Potential Loyalist
11292,1,150000,11908,1,1,5,115,7,Lost
11303,1,90000,10246,1,1,5,115,7,Lost
11340,1,10000,7034,3,1,1,311,5,Other
11378,1,10000,5172,3,1,1,311,5,Other
11381,1,20000,3690,4,1,1,411,6,Promising
11383,1,30000,2216,5,1,1,511,7,Promising
11386,1,30000,1752,5,1,1,511,7,Promising
11415,1,90000,1624,5,1,5,515,11,Potential Loyalist
11434,1,170000,4667,4,1,5,415,10,Potential Loyalist
11451,1,70000,6008,3,1,4,314,8,Other
11453,1,80000,9094,2,1,4,214,7,Lost
11489,1,20000,3585,4,1,1,411,6,Promising
11538,1,60000,10742,1,1,3,113,5,Lost
11540,1,60000,11866,1,1,3,113,5,Lost
11555,1,40000,11204,1,1,2,112,4,Lost
11576,1,30000,3084,4,1,1,411,6,Promising
11585,1,40000,6246,3,1,2,312,6,Other
11619,1,50000,7721,2,1,3,213,6,Lost
11622,1,50000,9373,2,1,3,213,6,Lost
11641,1,50000,3741,4,1,3,413,8,Potential Loyalist
11644,1,40000,2481,4,1,2,412,7,Promising
11663,1,70000,10211,1,1,4,114,6,Lost
11669,1,70000,5791,3,1,4,314,8,Other
11699,1,60000,11441,1,1,3,113,5,Lost
11734,1,60000,6099,3,1,3,313,7,Other
11738,1,60000,8726,2,1,3,213,6,Lost
11745,1,60000,9346,2,1,3,213,6,Lost
11783,1,60000,8259,2,1,3,213,6,Lost
11788,1,70000,4708,4,1,4,414,9,Potential Loyalist
11801,1,60000,10281,1,1,3,113,5,Lost
11807,1,70000,11955,1,1,4,114,6,Lost
11809,1,60000,2985,4,1,3,413,8,Potential Loyalist
11817,1,70000,11969,1,1,4,114,6,Lost
11823,1,70000,10557,1,1,4,114,6,Lost
11886,1,60000,8252,2,1,3,213,6,Lost
11890,1,70000,11725,1,1,4,114,6,Lost
11896,1,100000,7404,2,1,5,215,8,Lost
11897,1,60000,8296,2,1,3,213,6,Lost
11935,1,30000,9235,2,1,1,211,4,Lost
11941,1,60000,9058,2,1,3,213,6,Lost
12029,1,30000,2681,4,1,1,411,6,Promising
12033,1,40000,8330,2,1,2,212,5,Lost
12056,1,120000,7475,2,1,5,215,8,Lost
12100,1,60000,8101,2,1,3,213,6,Lost
12121,1,60000,338,5,1,3,513,9,Potential Loyalist
12133,1,130000,225,5,1,5,515,11,Potential Loyalist
12153,1,70000,3263,4,1,4,414,9,Potential Loyalist
12192,1,60000,4912,3,1,3,313,7,Other
12195,1,70000,5343,3,1,4,314,8,Other
12205,1,130000,5280,3,1,5,315,9,Other
12207,1,80000,4584,4,1,4,414,9,Potential Loyalist
12212,1,10000,6742,3,1,1,311,5,Other
12231,1,10000,10209,1,1,1,111,3,Lost
12234,1,10000,460,5,1,1,511,7,Promising
12236,1,20000,196,5,1,1,511,7,Promising
12253,1,20000,3142,4,1,1,411,6,Promising
12273,1,30000,11024,1,1,1,111,3,Lost
12274,1,10000,3710,4,1,1,411,6,Promising
12284,1,30000,1425,5,1,1,511,7,Promising
12291,1,90000,658,5,1,5,515,11,Potential Loyalist
12332,1,90000,8922,2,1,5,215,8,Lost
12344,1,80000,6872,3,1,4,314,8,Other
12389,1,30000,1394,5,1,1,511,7,Promising
12452,1,60000,2152,5,1,3,513,9,Potential Loyalist
12472,1,30000,2875,4,1,1,411,6,Promising
12496,1,40000,5379,3,1,2,312,6,Other
12497,1,40000,5521,3,1,2,312,6,Other
12503,1,30000,10619,1,1,1,111,3,Lost
12507,1,30000,2449,4,1,1,411,6,Promising
12510,1,40000,7293,3,1,2,312,6,Other
12558,1,20000,11618,1,1,1,111,3,Lost
12568,1,30000,3941,4,1,1,411,6,Promising
12581,1,10000,1809,5,1,1,511,7,Promising
12585,1,10000,4387,4,1,1,411,6,Promising
12590,1,30000,2188,5,1,1,511,7,Promising
12591,1,30000,9496,1,1,1,111,3,Lost
12610,1,30000,3985,4,1,1,411,6,Promising
12629,1,20000,354,5,1,1,511,7,Promising
12663,1,90000,9911,1,1,5,115,7,Lost
12664,1,130000,9982,1,1,5,115,7,Lost
12666,1,60000,10471,1,1,3,113,5,Lost
12678,1,130000,7453,2,1,5,215,8,Lost
12697,1,90000,8563,2,1,5,215,8,Lost
12705,1,150000,10025,1,1,5,115,7,Lost
12716,1,30000,3881,4,1,1,411,6,Promising
12718,1,30000,10459,1,1,1,111,3,Lost
12728,1,30000,4246,4,1,1,411,6,Promising
12731,1,30000,4053,4,1,1,411,6,Promising
12744,1,40000,8750,2,1,2,212,5,Lost
12768,1,30000,11481,1,1,1,111,3,Lost
12774,1,40000,11087,1,1,2,112,4,Lost
12808,1,40000,1611,5,1,2,512,8,Promising
12821,1,40000,10846,1,1,2,112,4,Lost
12833,1,20000,4635,4,1,1,411,6,Promising
12871,1,30000,9690,1,1,1,111,3,Lost
